"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Mar 23 11:36:22 GMT 2021","Tue Mar 23 11:36:54 GMT 2021","31459","","Swap","","Swap","should appear in the history","should appear in the history",""
"passed","Tue Mar 23 11:36:54 GMT 2021","Tue Mar 23 11:36:56 GMT 2021","1847","","Swap","","Swap","should show operation details modal","should show operation details modal",""
"passed","Tue Mar 23 11:35:28 GMT 2021","Tue Mar 23 11:35:46 GMT 2021","18425","","Swap","","Swap","should start in this state","should start in this state",""
"passed","Tue Mar 23 11:36:02 GMT 2021","Tue Mar 23 11:36:22 GMT 2021","20692","","Swap","","Swap","confirm swap on device and broadcast step","confirm swap on device and broadcast step",""
"passed","Tue Mar 23 11:35:47 GMT 2021","Tue Mar 23 11:35:54 GMT 2021","6434","","Swap","","Swap","pass KYC landing","pass KYC landing",""
"passed","Tue Mar 23 11:35:54 GMT 2021","Tue Mar 23 11:35:59 GMT 2021","5430","","Swap","","Swap","fill the form and get rates","fill the form and get rates",""
"passed","Tue Mar 23 11:35:59 GMT 2021","Tue Mar 23 11:36:02 GMT 2021","2431","","Swap","","Swap","confirm summary step","confirm summary step",""
"passed","Tue Mar 23 11:35:46 GMT 2021","Tue Mar 23 11:35:47 GMT 2021","1419","","Swap","","Swap","access the feature","access the feature",""
